window,start,end,geom_mean,n_windows,window_type,window_id,subset,fold,sub_label,tau,d,h
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,all,1,,-4.60366540433858,0.378658400836722,0.0565874379159256
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,all,1,,-3.33920530022723,0.491268018138685,0.782822367832687
2,13371.3069999218,4605678.9519999,248161.131546157,2,regular,3,all,1,,-4.7814500675253,0.357692613346168,0.0302909092995459
1,38.3629999160767,395.178999900818,123.126974867534,5,regular,4,all,1,,-2.85008120296495,0.532497859685684,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,all,1,,-3.29942767166441,0.468803674274179,0.492719486299885
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,all,1,,-3.96264644454808,0.40661728829765,0.135767185784094
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,all,1,,-4.75521093622949,0.352418960145848,0.0269972534526994
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,all,1,,-5.17868370342033,0.335809729917848,0.0109750645931136
1,38.3629999160767,121.253999948502,68.2031318184755,10,regular,9,all,1,,-2.68731237414638,0.560980128991936,1
2,123.598999977112,395.178999900818,221.00617457369,10,regular,10,all,1,,-2.97425508652746,0.509686073043199,1
3,398.260999917984,1281.28500008583,714.342946569851,10,regular,11,all,1,,-3.14017227869845,0.480062965278133,0.631567011773282
4,1285.92199993134,4117.75299978256,2301.11042166682,10,regular,12,all,1,,-3.41872499748466,0.44811131593058,0.305142705737751
5,4159.79800009727,13238.1209998131,7420.77551608107,10,regular,13,all,1,,-3.72868306906361,0.422172606769808,0.185506934223183
6,13371.3069999218,42791.6510000229,23920.2906034776,10,regular,14,all,1,,-4.11059786931912,0.390368609611884,0.0883864150668028
7,42824.5380001068,137553.312999964,76750.6161513218,10,regular,15,all,1,,-4.69294145775594,0.349583640772132,0.0263729733593399
8,138609.907999992,441248.032000065,247308.206739499,10,regular,16,all,1,,-4.81074837702191,0.349835352673394,0.0223026248716341
9,444687.072000027,1410000.22900009,791838.91881709,10,regular,17,all,1,,-5.08707241860611,0.336340545821575,0.0114749366628619
10,1458368.50699997,4605678.9519999,2591674.58160728,10,regular,18,all,1,,-5.58523798532627,0.314055111233421,0.00394847961902521
1,38.3629999160767,68.6730000972748,51.3274029828949,20,regular,19,all,1,,-2.86234010784656,0.541999980255582,1
2,68.949000120163,121.253999948502,91.4349061191595,20,regular,20,all,1,,-2.65492561904209,0.564229066780256,1
3,123.598999977112,220.978999853134,165.265796212615,20,regular,21,all,1,,-2.88903435990692,0.528759073616482,1
4,224.68799996376,395.178999900818,297.979830047931,20,regular,22,all,1,,-3.04717091303345,0.493857998758638,0.856316534608212
5,398.260999917984,713.151999950409,532.935857860737,20,regular,23,all,1,,-3.16061368371363,0.475142293321744,0.553731671828649
6,719.106000185013,1281.28500008583,959.885269971769,20,regular,24,all,1,,-3.12669002585217,0.48014875660192,0.656403031248914
7,1285.92199993134,2299.80999994278,1719.70237965426,20,regular,25,all,1,,-3.27206632502538,0.463421807076393,0.442567502118694
8,2304.1139998436,4117.75299978256,3080.22277355015,20,regular,26,all,1,,-3.54198908756365,0.432139329446083,0.199916849995576
9,4159.79800009727,7391.78800010681,5545.11901946093,20,regular,27,all,1,,-3.69642362238433,0.421158137814627,0.18420096977823
10,7453.84100008011,13238.1209998131,9933.52148396672,20,regular,28,all,1,,-3.75162089529062,0.416182985298466,0.173036105428957
11,13371.3069999218,23490.6749999523,17722.8955608205,20,regular,29,all,1,,-3.89177194280273,0.406552422813929,0.128866169868018
12,24164.364000082,42791.6510000229,32156.38398404,20,regular,30,all,1,,-4.38432510028501,0.367622750973888,0.0463007605223882
13,42824.5380001068,76709.8499999046,57315.4768479109,20,regular,31,all,1,,-4.62683092980255,0.353063446844345,0.0296200487670079
14,76959.0260000229,137553.312999964,102888.138245152,20,regular,32,all,1,,-4.72628900696975,0.342545209969626,0.0236543460334968
15,138609.907999992,247039.671000004,185046.334926307,20,regular,33,all,1,,-4.78656190673737,0.348421073099938,0.0214671226912789
16,247494.954999924,441248.032000065,330464.312481183,20,regular,34,all,1,,-4.8390833044136,0.350186651778776,0.0194777847447508
17,444687.072000027,792104.104000092,593496.802625765,20,regular,35,all,1,,-5.01167237178928,0.343671216035819,0.0137187839291063
18,808071.109999895,1410000.22900009,1067417.65497307,20,regular,36,all,1,,-5.25121572158205,0.331405053583951,0.00804224240729241
19,1458368.50699997,2566018.70299983,1934476.89694859,20,regular,37,all,1,,-5.20078694850905,0.333491922601136,0.0081436377301123
20,2573482.61699986,4605678.9519999,3442765.56309806,20,regular,38,all,1,,-5.77897027995517,0.304568502289126,0.0028014975308461
1,38.3629999160767,600,151.716182227362,1,short,39,all,1,,-2.89267396293117,0.523344300980003,1
1,84600,88200,86381.2479650532,1,24h,40,all,1,,-4.69781951368868,0.33978428239895,0.0247453394150867
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,all,2,,-4.6034707322429,0.378321425051915,0.0567033211404427
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,all,2,,-3.34376437152515,0.490675937368579,0.770675952490625
2,13371.3069999218,4605678.9519999,248161.131546157,2,regular,3,all,2,,-4.77985471932259,0.35758090063455,0.0302983023510585
1,38.3629999160767,395.178999900818,123.126974867534,5,regular,4,all,2,,-2.87308518884865,0.527017960009446,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,all,2,,-3.3208411806036,0.465601577857764,0.453181758769031
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,all,2,,-3.95272331880241,0.407821762460648,0.140292611153017
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,all,2,,-4.75304842073943,0.352469179951316,0.0271711107304486
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,all,2,,-5.17118849244524,0.336056224302525,0.0110325828272258
1,38.3629999160767,121.253999948502,68.2031318184755,10,regular,9,all,2,,-2.72885082716438,0.553562366920689,1
2,123.598999977112,395.178999900818,221.00617457369,10,regular,10,all,2,,-2.97836068164158,0.504882043456802,1
3,398.260999917984,1281.28500008583,714.342946569851,10,regular,11,all,2,,-3.17168457623541,0.475757811150806,0.564927538698508
4,1285.92199993134,4117.75299978256,2301.11042166682,10,regular,12,all,2,,-3.43295013816953,0.448689546006895,0.300685502251933
5,4159.79800009727,13238.1209998131,7420.77551608107,10,regular,13,all,2,,-3.68856424519067,0.426520804110893,0.20892486202667
6,13371.3069999218,42791.6510000229,23920.2906034776,10,regular,14,all,2,,-4.12392059394544,0.38921488540448,0.084833204380145
7,42824.5380001068,137553.312999964,76750.6161513218,10,regular,15,all,2,,-4.69318878113517,0.348713562456294,0.026235185113089
8,138609.907999992,441248.032000065,247308.206739499,10,regular,16,all,2,,-4.80653380902379,0.350070315793798,0.0224733129485882
9,444687.072000027,1410000.22900009,791838.91881709,10,regular,17,all,2,,-5.10525346808524,0.334708003603824,0.0109886025572739
10,1458368.50699997,4605678.9519999,2591674.58160728,10,regular,18,all,2,,-5.47595002945084,0.322217216180727,0.00513719492076982
1,38.3629999160767,68.6730000972748,51.3274029828949,20,regular,19,all,2,,-2.82463369011823,0.546528607834955,1
2,68.949000120163,121.253999948502,91.4349061191595,20,regular,20,all,2,,-2.71054718597936,0.555660433158792,1
3,123.598999977112,220.978999853134,165.265796212615,20,regular,21,all,2,,-2.95820472784082,0.515610710803656,1
4,224.68799996376,395.178999900818,297.979830047931,20,regular,22,all,2,,-2.99432091565341,0.500387051387354,1
5,398.260999917984,713.151999950409,532.935857860737,20,regular,23,all,2,,-3.19314811987585,0.470435689222214,0.466451017837041
6,719.106000185013,1281.28500008583,959.885269971769,20,regular,24,all,2,,-3.15753687105998,0.473550513213278,0.585160085551691
7,1285.92199993134,2299.80999994278,1719.70237965426,20,regular,25,all,2,,-3.28130671955614,0.464109810811142,0.449248036636866
8,2304.1139998436,4117.75299978256,3080.22277355015,20,regular,26,all,2,,-3.56175953980318,0.431366769510718,0.19700270556254
9,4159.79800009727,7391.78800010681,5545.11901946093,20,regular,27,all,2,,-3.6245197454042,0.428147997915936,0.218314749342735
10,7453.84100008011,13238.1209998131,9933.52148396672,20,regular,28,all,2,,-3.73638720336795,0.417277565026299,0.180274525195195
