n_windows,window,tau,activation
1,1,-4.6072046466188,-4.11306817203661
2,1,-3.35143253473068,-2.4087088889588
2,2,-3.35143253473068,-3.02696054230711
3,1,-3.03494783698772,-2.0012524068778
3,2,-3.03494783698772,-2.38902352537043
3,3,-3.03494783698772,-2.87617943669351
4,1,-2.93239829629825,-1.85041462301252
4,2,-2.93239829629825,-2.09383083910043
4,3,-2.93239829629825,-2.44945445979277
4,4,-2.93239829629825,-2.90306918297598
5,1,-2.86201329945215,-1.78585787178395
5,2,-2.86201329945215,-1.89011642639683
5,3,-2.86201329945215,-2.23074452601492
5,4,-2.86201329945215,-2.47519747623296
5,5,-2.86201329945215,-2.91653797729205
6,1,-2.8112579860356,-1.75304164853057
6,2,-2.8112579860356,-1.79613233751785
6,3,-2.8112579860356,-2.01381832561665
6,4,-2.8112579860356,-2.22222731185815
6,5,-2.8112579860356,-2.59847766182232
6,6,-2.8112579860356,-2.90489534949556
7,1,-2.79529618341199,-1.74486836653329
7,2,-2.79529618341199,-1.72495575892106
7,3,-2.79529618341199,-1.88998220664589
7,4,-2.79529618341199,-2.20812028381681
7,5,-2.79529618341199,-2.24347114206416
7,6,-2.79529618341199,-2.67248409452929
7,7,-2.79529618341199,-2.92352294710944
8,1,-2.77181116722228,-1.73113952524574
8,2,-2.77181116722228,-1.65710662354374
8,3,-2.77181116722228,-1.83833491378702
8,4,-2.77181116722228,-2.02098459063991
8,5,-2.77181116722228,-2.17181918334091
8,6,-2.77181116722228,-2.32234109778049
8,7,-2.77181116722228,-2.7042078288381
8,8,-2.77181116722228,-2.95171314053924
9,1,-2.73766055265252,-1.72158813940214
9,2,-2.73766055265252,-1.60169969238087
9,3,-2.73766055265252,-1.78594959017569
9,4,-2.73766055265252,-1.84434711965174
9,5,-2.73766055265252,-2.1583943471897
9,6,-2.73766055265252,-2.13800685628176
9,7,-2.73766055265252,-2.45455057298099
9,8,-2.73766055265252,-2.71992930119911
9,9,-2.73766055265252,-2.93750125364816
10,1,-2.71591907287016,-1.71900732058004
10,2,-2.71591907287016,-1.57612128548551
10,3,-2.71591907287016,-1.71083303136718
10,4,-2.71591907287016,-1.77644931139743
10,5,-2.71591907287016,-2.01278582571678
10,6,-2.71591907287016,-2.14363591289805
10,7,-2.71591907287016,-2.15634179238728
10,8,-2.71591907287016,-2.50243974856583
10,9,-2.71591907287016,-2.7215639439425
10,10,-2.71591907287016,-2.95752600336142
20,1,-2.83481708583208,-1.7103166624021
20,2,-2.83481708583208,-1.86237247589119
20,3,-2.83481708583208,-1.69287060584115
20,4,-2.83481708583208,-1.69685866287612
20,5,-2.83481708583208,-1.731235822359
20,6,-2.83481708583208,-1.90598425192937
20,7,-2.83481708583208,-1.92254243980672
20,8,-2.83481708583208,-1.86893760109045
20,9,-2.83481708583208,-2.03868203310212
20,10,-2.83481708583208,-2.20705055914814
20,11,-2.83481708583208,-2.30627517084781
20,12,-2.83481708583208,-2.20047787393206
20,13,-2.83481708583208,-2.19928572299929
20,14,-2.83481708583208,-2.31752963829442
20,15,-2.83481708583208,-2.54548267479984
20,16,-2.83481708583208,-2.70975229000707
20,17,-2.83481708583208,-2.84760550672691
20,18,-2.83481708583208,-2.82534454271085
20,19,-2.83481708583208,-3.20267048332125
20,20,-2.83481708583208,-3.01285326222135
25,1,-2.33051775377411,-1.35756267926687
25,2,-2.33051775377411,-1.31944303942649
25,3,-2.33051775377411,-1.25548820274465
25,4,-2.33051775377411,-1.24058761518576
25,5,-2.33051775377411,-1.18122921797588
25,6,-2.33051775377411,-1.25781800214893
25,7,-2.33051775377411,-1.33354566909918
25,8,-2.33051775377411,-1.4033550911649
25,9,-2.33051775377411,-1.36274407277883
25,10,-2.33051775377411,-1.42121439414209
25,11,-2.33051775377411,-1.50749392475077
25,12,-2.33051775377411,-1.63900723588678
25,13,-2.33051775377411,-1.75119291531292
25,14,-2.33051775377411,-1.85657520512907
